screen_name,text,created_at,favorite_count,quote_count,reply_count
9kwDyo,"Jew attacked in Old City of #Jerusalem
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/h6UqST1bNa",2021-05-13T08:18:39Z,0,NA,NA
9kwDyo,"Large artillery barrage at Israel from #Gaza
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/wiJChWiOB3",2021-05-13T19:25:21Z,1,NA,NA
9kwDyo,"Pieces of #Gaza artillery at Kiryat Malakhi
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/ciSOK9tL2O",2021-05-13T11:53:59Z,0,NA,NA
9kwDyo,"Israeli Jew attacked in Old City of #Jerusalem
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/eur3ZiKNQk",2021-05-13T10:56:25Z,0,NA,NA
9kwDyo,"Car hit by a rocket in Be'er Sheva
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/blWdTdaDOy",2021-05-13T17:55:10Z,0,NA,NA
9kwDyo,"Shots fired at Israeli protesters in Lod
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw #القدس_ينتفض #لن_نرحل https://t.co/QOOP1x7Zy5",2021-05-12T20:19:30Z,0,NA,NA
9kwDyo,"Israeli injured in the Lod shooting
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/PwAELQIiJE",2021-05-13T17:51:33Z,0,NA,NA
9kwDyo,"Israeli stabbed in Lod
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/0qu5MZFbkG",2021-05-13T06:51:39Z,0,NA,NA
9kwDyo,"From recent barrage at Israel
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/T2rdfkTtEP",2021-05-13T11:39:56Z,0,NA,NA
9kwDyo,"Firefighters putting out a fire in Petah Tikva after artillery attack from Gaza
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/NJRwH1seIR",2021-05-13T08:51:33Z,0,NA,NA
9kwDyo,"Part of the recent barrage at Israel from #Gaza
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/ZQfzUonikN",2021-05-13T11:53:25Z,0,NA,NA
9kwDyo,"Jews attacked in #Jerusalem
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/6FwDaE9szw",2021-05-13T15:03:18Z,0,NA,NA
